from,to,album title,primary genre,secondary genre,year of publishing,first grammy category,second_grammy_category,grammy year,number of grammys per album,number of grammy nominations per album
sm,mm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
sm,sh,No.6 Collaborations Project,3,,2019,4,,2020,0,1
sk,es,No.6 Collaborations Project,3,,2019,4,,2020,0,1
sk,ag,No.6 Collaborations Project,3,,2019,4,,2020,0,1
sk,fr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
sk,mm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
sk,sh,No.6 Collaborations Project,3,,2019,4,,2020,0,1
sk,sm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bbo,es,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bbo,ag,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bbo,fr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bbo,mm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bbo,sh,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bbo,sm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bbo,sk,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jr,es,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jr,ag,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jr,fr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jr,mm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jr,sh,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jr,sm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jr,sk,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jr,bb,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jg,es,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jg,ag,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jg,fr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jg,mm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jg,sh,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jg,sm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jg,sk,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jg,bb,No.6 Collaborations Project,3,,2019,4,,2020,0,1
jg,jr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
pla,es,No.6 Collaborations Project,3,,2019,4,,2020,0,1
pla,ag,No.6 Collaborations Project,3,,2019,4,,2020,0,1
pla,fr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
pla,mm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
pla,sh,No.6 Collaborations Project,3,,2019,4,,2020,0,1
pla,sm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
pla,sk,No.6 Collaborations Project,3,,2019,4,,2020,0,1
pla,bb,No.6 Collaborations Project,3,,2019,4,,2020,0,1
pla,jr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
pla,jg,No.6 Collaborations Project,3,,2019,4,,2020,0,1
ni,es,No.6 Collaborations Project,3,,2019,4,,2020,0,1
ni,ag,No.6 Collaborations Project,3,,2019,4,,2020,0,1
ni,fr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
ni,mm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
ni,sh,No.6 Collaborations Project,3,,2019,4,,2020,0,1
ni,sm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
ni,sk,No.6 Collaborations Project,3,,2019,4,,2020,0,1
ni,bb,No.6 Collaborations Project,3,,2019,4,,2020,0,1
ni,jr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
ni,jg,No.6 Collaborations Project,3,,2019,4,,2020,0,1
ni,pla,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bo,es,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bo,ag,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bo,fr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bo,mm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bo,sh,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bo,sm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bo,sk,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bo,bb,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bo,jr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bo,jg,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bo,pla,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bo,ni,No.6 Collaborations Project,3,,2019,4,,2020,0,1
js,es,No.6 Collaborations Project,3,,2019,4,,2020,0,1
js,ag,No.6 Collaborations Project,3,,2019,4,,2020,0,1
js,fr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
js,mm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
js,sh,No.6 Collaborations Project,3,,2019,4,,2020,0,1
js,sm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
js,sk,No.6 Collaborations Project,3,,2019,4,,2020,0,1
js,bb,No.6 Collaborations Project,3,,2019,4,,2020,0,1
js,jr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
js,jg,No.6 Collaborations Project,3,,2019,4,,2020,0,1
js,pla,No.6 Collaborations Project,3,,2019,4,,2020,0,1
js,ni,No.6 Collaborations Project,3,,2019,4,,2020,0,1
js,bo,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bm,es,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bm,ag,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bm,fr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bm,mm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bm,sh,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bm,sm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bm,sk,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bm,bb,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bm,jr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bm,jg,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bm,pla,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bm,ni,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bm,bo,No.6 Collaborations Project,3,,2019,4,,2020,0,1
bm,js,No.6 Collaborations Project,3,,2019,4,,2020,0,1
es,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bm,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bm,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
jq,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
jq,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
