from,to,song title,album title,genre,year of publishing,featuring,grammy category,grammy year
as,rr,One And Only,21,"3,4",2011,,1,2012
gf,ad,Lovesong,21,"3,4",2011,,1,2012
pbj,ad,Lovesong,21,"3,4",2011,,1,2012
slk,ad,Lovesong,21,"3,4",2011,,1,2012
as,ad,Lovesong,21,"3,4",2011,,1,2012
gf,rr,Lovesong,21,"3,4",2011,,1,2012
pbj,rr,Lovesong,21,"3,4",2011,,1,2012
slk,rr,Lovesong,21,"3,4",2011,,1,2012
as,rr,Lovesong,21,"3,4",2011,,1,2012
ad,gf,One And Only,21,"3,4",2011,,1,2012
ad,pbj,One And Only,21,"3,4",2011,,1,2012
ad,slk,One And Only,21,"3,4",2011,,1,2012
ad,as,One And Only,21,"3,4",2011,,1,2012
rr,gf,One And Only,21,"3,4",2011,,1,2012
rr,pbj,One And Only,21,"3,4",2011,,1,2012
rr,slk,One And Only,21,"3,4",2011,,1,2012
rr,as,One And Only,21,"3,4",2011,,1,2012
ad,gf,Lovesong,21,"3,4",2011,,1,2012
ad,pbj,Lovesong,21,"3,4",2011,,1,2012
ad,slk,Lovesong,21,"3,4",2011,,1,2012
ad,as,Lovesong,21,"3,4",2011,,1,2012
rr,gf,Lovesong,21,"3,4",2011,,1,2012
rr,pbj,Lovesong,21,"3,4",2011,,1,2012
rr,slk,Lovesong,21,"3,4",2011,,1,2012
rr,as,Lovesong,21,"3,4",2011,,1,2012
gf,ad,Don't You Remember,21,"3,4",2011,,1,2012
pbj,ad,Don't You Remember,21,"3,4",2011,,1,2012
slk,ad,Don't You Remember,21,"3,4",2011,,1,2012
as,ad,Don't You Remember,21,"3,4",2011,,1,2012
gf,ad,He Won't Go,21,"3,4",2011,,1,2012
pbj,ad,He Won't Go,21,"3,4",2011,,1,2012
slk,ad,He Won't Go,21,"3,4",2011,,1,2012
as,ad,He Won't Go,21,"3,4",2011,,1,2012
ad,gf,Don't You Remember,21,"3,4",2011,,1,2012
ad,pbj,Don't You Remember,21,"3,4",2011,,1,2012
ad,slk,Don't You Remember,21,"3,4",2011,,1,2012
ad,as,Don't You Remember,21,"3,4",2011,,1,2012
ad,gf,He Won't Go,21,"3,4",2011,,1,2012
ad,pbj,He Won't Go,21,"3,4",2011,,1,2012
ad,slk,He Won't Go,21,"3,4",2011,,1,2012
ad,as,He Won't Go,21,"3,4",2011,,1,2012
rr,gf,Don't You Remember,21,"3,4",2011,,1,2012
rr,pbj,Don't You Remember,21,"3,4",2011,,1,2012
rr,slk,Don't You Remember,21,"3,4",2011,,1,2012
rr,as,Don't You Remember,21,"3,4",2011,,1,2012
rr,gf,He Won't Go,21,"3,4",2011,,1,2012
rr,pbj,He Won't Go,21,"3,4",2011,,1,2012
rr,slk,He Won't Go,21,"3,4",2011,,1,2012
rr,as,He Won't Go,21,"3,4",2011,,1,2012
